age_and_district,both_sexes,district,gender,population
10-14,41218,Gakenke,female,20610
10-14,41218,Gakenke,male,-20608
15-19,43602,Gakenke,female,22038
15-19,43602,Gakenke,male,-21564
20-24,31508,Gakenke,female,16522
20-24,31508,Gakenke,male,-14986
25-29,24161,Gakenke,female,12710
25-29,24161,Gakenke,male,-11451
30-34,25014,Gakenke,female,13378
30-34,25014,Gakenke,male,-11636
35-39,26026,Gakenke,female,14071
35-39,26026,Gakenke,male,-11955
40-44,20922,Gakenke,female,11954
40-44,20922,Gakenke,male,-8968
45-49,13305,Gakenke,female,7849
45-49,13305,Gakenke,male,-5456
50-54,11451,Gakenke,female,6533
50-54,11451,Gakenke,male,-4918
55-59,9783,Gakenke,female,5478
55-59,9783,Gakenke,male,-4305
60-64,10395,Gakenke,female,5810
60-64,10395,Gakenke,male,-4585
65-69,7635,Gakenke,female,4279
65-69,7635,Gakenke,male,-3356
70-74,5650,Gakenke,female,3281
70-74,5650,Gakenke,male,-2369
75-79,2931,Gakenke,female,1789
75-79,2931,Gakenke,male,-1142
80-84,2249,Gakenke,female,1398
80-84,2249,Gakenke,male,-851
85+,2270,Gakenke,female,1466
85+,2270,Gakenke,male,-804
0-4,59172,Musanze,female,29718
0-4,59172,Musanze,male,-29454
5-9,59846,Musanze,female,30087
5-9,59846,Musanze,male,-29759
10-14,52880,Musanze,female,26619
10-14,52880,Musanze,male,-26261
15-19,55904,Musanze,female,28911
15-19,55904,Musanze,male,-26993
20-24,45153,Musanze,female,23417
20-24,45153,Musanze,male,-21736
25-29,40826,Musanze,female,21110
25-29,40826,Musanze,male,-19716
30-34,38997,Musanze,female,20035
30-34,38997,Musanze,male,-18962
35-39,32415,Musanze,female,16764
35-39,32415,Musanze,male,-15651
40-44,25073,Musanze,female,13448
40-44,25073,Musanze,male,-11625
45-49,15268,Musanze,female,8588
45-49,15268,Musanze,male,-6680
50-54,11945,Musanze,female,6636
50-54,11945,Musanze,male,-5309
